"Pair","Param1","Param2","Param1Value","Param2Value","TrueMu"
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.07,0.48908195226287
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.075,0.511732094698802
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.08,0.533450290220414
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.01,0.110213143909861
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.015,0.158683561398241
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.02,0.203504836544482
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.025,0.245135106616898
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.03,0.283957734258768
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.035,0.320295796927243
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.04,0.354423381257452
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.045,0.386574466751386
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.05,0.416949971457462
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.055,0.445723382861536
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.06,0.47304529024528
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.065,0.499047057225639
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.07,0.523843816319206
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.075,0.547536925222456
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.08,0.570215992950755
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.01,0.12011161175939
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.015,0.172520764940935
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.02,0.220764744044556
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.025,0.265389070598239
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.03,0.306846890760162
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.035,0.345517516750818
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.04,0.38172072917454
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.045,0.415727921829177
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.05,0.447770866354952
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.055,0.478048663293495
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.06,0.506733297745153
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.065,0.533974111825012
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.07,0.559901429406905
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.075,0.584629512454292
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.08,0.608258986627713
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.01,0.130611040313211
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.015,0.187150229719491
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.02,0.238959191181605
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.025,0.286682686229227
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.03,0.330852417745741
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.035,0.37191050052444
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.04,0.410227375712629
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.045,0.446115640226929
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.05,0.479840831882076
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.055,0.511629918300686
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.06,0.541678034999837
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.065,0.570153875392778
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.07,0.597204033534599
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.075,0.622956526660749
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.08,0.647523670502571
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.01,0.14170990782763
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.015,0.202565681372065
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.02,0.258076269003252
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.025,0.308998172541435
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.03,0.355950787531967
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.035,0.399445795201473
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.04,0.439909360830475
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.045,0.477699111579339
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.05,0.513117267922376
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.055,0.546420902875228
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.06,0.57783003066925
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.065,0.607534037437389
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.07,0.635696833120266
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.075,0.662461008354598
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.08,0.687951210877317
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.01,0.153402445120514
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.015,0.218755521093718
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.02,0.278098148109363
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.025,0.33231158257572
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.03,0.382112309949105
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.035,0.428088461307954
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.04,0.470727030021652
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.045,0.510434497501462
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.05,0.547552657303541
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.055,0.582370888979818
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.06,0.615135772289328
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.065,0.646058685541505
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.07,0.675321859915778
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.075,0.703083239910576
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.08,0.72948041268282
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.01,0.165678605445288
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.015,0.235702913642644
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.02,0.299001303626763
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.025,0.356593161712747
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.03,0.409301609730949
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.035,0.457798150903526
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.04,0.502635693643221
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.045,0.54427335413024
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.05,0.583095335249172
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.055,0.619425467734269
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.06,0.65353852913886
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.065,0.685669138829165
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.07,0.716018808761722
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.075,0.744761576838045
"gamma_max_vs_delta_max","gamma_max","delta_max",0.214285714285714,0.08,0.772048540824008
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.01,0.178524108405229
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.015,0.253385964076247
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.02,0.320756830539117
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.025,0.381807788835765
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.03,0.437478173532727
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.035,0.488529738926855
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.04,0.535586322201816
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.045,0.579163373241204
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.05,0.619690260833239
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.055,0.657527338281608
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.06,0.692979147930995
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.065,0.726304741945379
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.07,0.757725823067988
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.075,0.78743321944638
"gamma_max_vs_delta_max","gamma_max","delta_max",0.228571428571429,0.08,0.815592073935913
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.01,0.19192055535821
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.015,0.271777974874572
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.02,0.34333083535504
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.025,0.40791548169669
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.03,0.466596944697007
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.035,0.520233984119404
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.04,0.569526253007991
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.045,0.615049117483957
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.05,0.657279766807653
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.055,0.696617061030126
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.06,0.733396800689994
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.065,0.767903600782958
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.07,0.800380213240457
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.075,0.831034910146085
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.08,0.860047377799109
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.01,0.205845611306514
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.015,0.290847772490084
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.02,0.366684887989208
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.025,0.434871946652287
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.03,0.496608943743209
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.035,0.55285819663067
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.04,0.604399885471052
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.045,0.651872727946093
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.05,0.695804267482213
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.055,0.7366337567622
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.06,0.77472966831069
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.065,0.810403245546462
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.07,0.843919095742896
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.075,0.875503546125367
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.08,0.905351290119093
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.01,0.220273246132565
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.015,0.310560090422104
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.02,0.390776516578645
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.025,0.462629152840152
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.03,0.527461893548312
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.035,0.586346891386629
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.04,0.640149345104803
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.045,0.689574585687189
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.05,0.735202908223125
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.055,0.777515737283201
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.06,0.816915547641504
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.065,0.853741211137715
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.07,0.888279944842156
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.075,0.920776701398874
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.08,0.951441612479752
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.01,0.235174026343548
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.015,0.330875994737647
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.02,0.415559727773976
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.025,0.491135911802825
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.03,0.559100830164563
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.035,0.620642409139909
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.04,0.676715099798521
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.045,0.728093912811169
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.05,0.77541414432624
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.055,0.819201057588921
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.06,0.859892374235007
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.065,0.897855529059306
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.07,0.933401053140275
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.075,0.96679305607857
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.08,0.998257508901796
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.01,0.25051544730704
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.015,0.351753337577105
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.02,0.440985535779724
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.025,0.520338445407117
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.03,0.591468682983963
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.035,0.655685490573525
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.04,0.714036515816457
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.045,0.767369302805544
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.05,0.816376241266765
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.055,0.861627983733034
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.06,0.903598656976661
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.065,0.942685128896958
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.07,0.979221900616222
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.075,1.01349273406475
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.08,1.04573981350143
"gamma_max_vs_E_star","gamma_max","E_star",0.1,100,0.311668034003033
"gamma_max_vs_E_star","gamma_max","E_star",0.1,164.285714285714,0.29032039415961
"gamma_max_vs_E_star","gamma_max","E_star",0.1,228.571428571429,0.272947285017742
"gamma_max_vs_E_star","gamma_max","E_star",0.1,292.857142857143,0.257972514602319
"gamma_max_vs_E_star","gamma_max","E_star",0.1,357.142857142857,0.244999760287633
"gamma_max_vs_E_star","gamma_max","E_star",0.1,421.428571428571,0.233786153251188
"gamma_max_vs_E_star","gamma_max","E_star",0.1,485.714285714286,0.224094324293071
"gamma_max_vs_E_star","gamma_max","E_star",0.1,550,0.215696843329118
"gamma_max_vs_E_star","gamma_max","E_star",0.1,614.285714285714,0.208390085227043
"gamma_max_vs_E_star","gamma_max","E_star",0.1,678.571428571429,0.201999625264504
"gamma_max_vs_E_star","gamma_max","E_star",0.1,742.857142857143,0.196379619666291
"gamma_max_vs_E_star","gamma_max","E_star",0.1,807.142857142857,0.191409546008668
"gamma_max_vs_E_star","gamma_max","E_star",0.1,871.428571428572,0.18699024262037
"gamma_max_vs_E_star","gamma_max","E_star",0.1,935.714285714286,0.183040126510951
"gamma_max_vs_E_star","gamma_max","E_star",0.1,1000,0.179491908967145
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,100,0.351229589439574
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,164.285714285714,0.324924983436305
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,228.571428571429,0.303590010363285
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,292.857142857143,0.285253682182127
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,357.142857142857,0.269411844205381
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,421.428571428571,0.25575404875625
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,485.714285714286,0.24397967460086
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,550,0.233802715511279
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,614.285714285714,0.224968321646915
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,678.571428571429,0.217258979405054
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,742.857142857143,0.210493368002255
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,807.142857142857,0.204522051691631
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,871.428571428572,0.199222385009031
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,935.714285714286,0.194493698691146
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,1000,0.190253144293381
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,100,0.393604528182372
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,164.285714285714,0.361940846239156
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,228.571428571429,0.336315668679329
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,292.857142857143,0.314335926874024
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,357.142857142857,0.295383495932666
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,421.428571428571,0.279076411053801
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,485.714285714286,0.265046311527776
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,550,0.252943911405415
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,614.285714285714,0.242458717566177
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,678.571428571429,0.233326247242962
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,742.857142857143,0.225326423564548
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,807.142857142857,0.218278184726095
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,871.428571428572,0.212033181911453
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,935.714285714286,0.206469852302283
"gamma_max_vs_E_star","gamma_max","E_star",0.128571428571429,1000,0.201488317601016
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,100,0.438643730028442
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,164.285714285714,0.401274261327998
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,228.571428571429,0.371065318402335
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,292.857142857143,0.345183459589209
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,357.142857142857,0.322894228383252
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,421.428571428571,0.303742688172492
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,485.714285714286,0.287290019986872
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,550,0.273120181138791
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,614.285714285714,0.260863442228866
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,678.571428571429,0.250205016419944
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,742.857142857143,0.240883148522045
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,807.142857142857,0.232682670518215
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,871.428571428572,0.225427462128703
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,935.714285714286,0.218973358330585
"gamma_max_vs_E_star","gamma_max","E_star",0.142857142857143,1000,0.213202045077036
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,100,0.486163799545127
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,164.285714285714,0.442804574930099
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,228.571428571429,0.40775895408756
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,292.857142857143,0.377744189827026
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,357.142857142857,0.351911023806637
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,421.428571428571,0.329732711192927
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,485.714285714286,0.310699185128601
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,550,0.29432555035843
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,614.285714285714,0.280180204835838
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,678.571428571429,0.26789537160335
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,742.857142857143,0.257165130356854
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,807.142857142857,0.247738017768938
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,871.428571428572,0.23940826853049
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,935.714285714286,0.232007537072451
"gamma_max_vs_E_star","gamma_max","E_star",0.157142857142857,1000,0.225397755238881
"gamma_max_vs_E_star","gamma_max","E_star",0.171428571428571,100,0.535953947364123
"gamma_max_vs_E_star","gamma_max","E_star",0.171428571428571,164.285714285714,0.486388230407506
"gamma_max_vs_E_star","gamma_max","E_star",0.171428571428571,228.571428571429,0.446297875361099
"gamma_max_vs_E_star","gamma_max","E_star",0.171428571428571,292.857142857143,0.411951080079757
"gamma_max_vs_E_star","gamma_max","E_star",0.171428571428571,357.142857142857,0.382389079615233
"gamma_max_vs_E_star","gamma_max","E_star",0.171428571428571,421.428571428571,0.357017084698987
"gamma_max_vs_E_star","gamma_max","E_star",0.171428571428571,485.714285714286,0.335254980290567
"gamma_max_vs_E_star","gamma_max","E_star",0.171428571428571,550,0.316548395564556
